title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
La vita è bella,116,Comedy;Drama,Roberto Benigni,Vincenzo Cerami;Roberto Benigni,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini, 8.6 ,"375,919"
Léon,110,Crime;Drama,Luc Besson,Luc Besson,Jean Reno;Gary Oldman;Natalie Portman, 8.6 ,"660,421"
Once Upon a Time in the West,175,Western,Sergio Leone,Sergio Donati;Sergio Leone,Henry Fonda;Charles Bronson;Claudia Cardinale, 8.6 ,"198,684"
Interstellar,169,Adventure;Drama,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Matthew McConaughey;Anne Hathaway;Jessica Chastain, 8.7 ,"763,461"
Saving Private Ryan,169,Action;Drama,Steven Spielberg,Robert Rodat,Tom Hanks;Matt Damon;Tom Sizemore, 8.6 ,"800,721"
De reis van Chihiro,125,Animation;Adventure,Hayao Miyazaki,Hayao Miyazaki,Daveigh Chase;Suzanne Pleshette;Miyu Irino, 8.6 ,"373,503"
American History X,119,Crime;Drama,Tony Kaye,David McKenna,Edward Norton;Edward Furlong;Beverly D'Angelo, 8.6 ,"719,439"
Casablanca,102,Drama;Romance,Michael Curtiz,Julius J. Epstein;Philip G. Epstein,Humphrey Bogart;Ingrid Bergman;Paul Henreid, 8.6 ,"360,583"
Psycho,109,Horror;Mystery,Alfred Hitchcock,Joseph Stefano;Robert Bloch,Anthony Perkins;Janet Leigh;Vera Miles, 8.6 ,"385,869"
City Lights,87,Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Virginia Cherrill;Florence Lee, 8.6 ,"96,814"
Indiana Jones and the Raiders of the Lost Ark,115,Action;Adventure,Steven Spielberg,Lawrence Kasdan;George Lucas,Harrison Ford;Karen Allen;Paul Freeman, 8.6 ,"605,490"
Rear Window,112,Mystery;Thriller,Alfred Hitchcock,John Michael Hayes;Cornell Woolrich,James Stewart;Grace Kelly;Wendell Corey, 8.5 ,"289,915"
The Intouchables,112,Biography;Comedy,Olivier Nakache;Eric Toledano,Olivier Nakache;Eric Toledano,François Cluzet;Omar Sy;Anne Le Ny, 8.6 ,"440,881"
Modern Times,87,Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman, 8.6 ,"127,439"
The Green Mile,189,Crime;Drama,Frank Darabont,Stephen King;Frank Darabont,Tom Hanks;Michael Clarke Duncan;David Morse, 8.5 ,"703,403"
Terminator 2: Judgment Day,137,Action;Sci-Fi,James Cameron,James Cameron;William Wisher Jr.,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong, 8.5 ,"682,884"
Whiplash,107,Drama;Music,Damien Chazelle,Damien Chazelle,Miles Teller;J.K. Simmons;Melissa Benoist, 8.5 ,"306,676"
The Pianist,150,Biography;Drama,Roman Polanski,Ronald Harwood;Wladyslaw Szpilman,Adrien Brody;Thomas Kretschmann;Frank Finlay, 8.5 ,"450,040"
The Departed,151,Crime;Drama,Martin Scorsese,William Monahan;Alan Mak,Leonardo DiCaprio;Matt Damon;Jack Nicholson, 8.5 ,"793,926"
Memento,113,Mystery;Thriller,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano, 8.5 ,"778,480"
Back to the Future,116,Adventure;Comedy,Robert Zemeckis,Robert Zemeckis;Bob Gale,Michael J. Fox;Christopher Lloyd;Lea Thompson, 8.5 ,"658,044"
Gladiator,155,Action;Drama,Ridley Scott,David Franzoni;David Franzoni,Russell Crowe;Joaquin Phoenix;Connie Nielsen, 8.5 ,"895,808"
Apocalypse Now,153,Drama;War,Francis Ford Coppola,John Milius;Francis Ford Coppola,Martin Sheen;Marlon Brando;Robert Duvall, 8.5 ,"416,703"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,Comedy;War,Stanley Kubrick,Stanley Kubrick;Terry Southern,Peter Sellers;George C. Scott;Sterling Hayden, 8.5 ,"317,759"
Sunset Blvd.,110,Drama;Film-Noir,Billy Wilder,Charles Brackett;Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim, 8.5 ,"128,154"
The Prestige,130,Drama;Mystery,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Hugh Jackman;Scarlett Johansson, 8.5 ,"763,161"
Alien,117,Horror;Sci-Fi,Ridley Scott,Dan O'Bannon;Ronald Shusett,Sigourney Weaver;Tom Skerritt;John Hurt, 8.5 ,"515,346"
De leeuwenkoning,89,Animation;Adventure,Roger Allers;Rob Minkoff,Irene Mecchi;Jonathan Roberts,Matthew Broderick;Jeremy Irons;James Earl Jones, 8.5 ,"575,162"
De dictator,125,Comedy;Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin;Paulette Goddard;Jack Oakie, 8.5 ,"122,955"
The Lives of Others,137,Drama;Thriller,Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe;Martina Gedeck;Sebastian Koch, 8.5 ,"237,568"
Nuovo Cinema Paradiso,155,Drama,Giuseppe Tornatore,Giuseppe Tornatore;Giuseppe Tornatore,Philippe Noiret;Enzo Cannavale;Antonella Attili, 8.5 ,"137,373"
The Shining,146,Drama;Horror,Stanley Kubrick,Stephen King;Stanley Kubrick,Jack Nicholson;Shelley Duvall;Danny Lloyd, 8.4 ,"553,530"
Django Unchained,165,Western,Quentin Tarantino,Quentin Tarantino,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio, 8.5 ,"843,724"
Paths of Glory,88,Drama;War,Stanley Kubrick,Stanley Kubrick;Calder Willingham,Kirk Douglas;Ralph Meeker;Adolphe Menjou, 8.5 ,"109,884"
The Dark Knight Rises,164,Action;Thriller,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Christian Bale;Tom Hardy;Anne Hathaway, 8.5 ,"1,035,827"
WALL·E,98,Animation;Adventure,Andrew Stanton,Andrew Stanton;Pete Docter,Ben Burtt;Elissa Knight;Jeff Garlin, 8.4 ,"646,440"
American Beauty,122,Drama;Romance,Sam Mendes,Alan Ball,Kevin Spacey;Annette Bening;Thora Birch, 8.4 ,"758,546"
Hotaru no haka,89,Animation;Drama,Isao Takahata,Akiyuki Nosaka;Isao Takahata,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi, 8.5 ,"121,734"
Aliens,137,Action;Horror,James Cameron,James Cameron;David Giler,Sigourney Weaver;Michael Biehn;Carrie Henn, 8.4 ,"450,676"
Citizen Kane,119,Drama;Mystery,Orson Welles,Herman J. Mankiewicz;Orson Welles,Orson Welles;Joseph Cotten;Dorothy Comingore, 8.4 ,"276,651"
North by Northwest,136,Adventure;Mystery,Alfred Hitchcock,Ernest Lehman,Cary Grant;Eva Marie Saint;James Mason, 8.4 ,"204,604"
Oldeuboi,120,Drama;Mystery,Chan-wook Park,Garon Tsuchiya;Nobuaki Minegishi,Min-sik Choi;Ji-tae Yu;Hye-jeong Kang, 8.4 ,"323,108"
Mononoke-hime,134,Animation;Adventure,Hayao Miyazaki,Hayao Miyazaki,Yôji Matsuda;Yuriko Ishida;Yûko Tanaka, 8.4 ,"200,062"
Vertigo,128,Mystery;Romance,Alfred Hitchcock,Alec Coppel;Samuel A. Taylor,James Stewart;Kim Novak;Barbara Bel Geddes, 8.4 ,"226,433"
Star Wars: Episode VI - Return of the Jedi,134,Action;Adventure,Richard Marquand,Lawrence Kasdan;George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher, 8.4 ,"580,789"
Das Boot,149,Adventure;Drama,Wolfgang Petersen,Wolfgang Petersen;Lothar G. Buchheim,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann, 8.4 ,"155,756"
M,117,Crime;Drama,Fritz Lang,Thea von Harbou;Fritz Lang,Peter Lorre;Ellen Widmann;Inge Landgut, 8.4 ,"91,171"
Once Upon a Time in America,229,Crime;Drama,Sergio Leone,Harry Grey;Leonardo Benvenuti,Robert De Niro;James Woods;Elizabeth McGovern, 8.4 ,"201,936"
Amélie,122,Comedy;Romance,Jean-Pierre Jeunet,Guillaume Laurant;Jean-Pierre Jeunet,Audrey Tautou;Mathieu Kassovitz;Rufus, 8.4 ,"490,564"
Inside Out,94,Animation;Adventure,Pete Docter;Ronnie Del Carmen,Pete Docter;Ronnie Del Carmen,Amy Poehler;Bill Hader;Lewis Black, 8.4 ,"173,545"
Witness for the Prosecution,116,Drama;Mystery,Billy Wilder,Agatha Christie;Billy Wilder,Tyrone Power;Marlene Dietrich;Charles Laughton, 8.4 ,"55,771"
